anime name,name,Birthday,Age,Gender,Blood Type,Height,category
Gintama THE FINAL,Gintoki Sakata,Oct 10,27,Male,B,177,fictional
Gintama THE FINAL,Shinpachi Shimura,Aug 12,16-18,Male,,166,fictional
Gintama THE FINAL,Kagura,Nov 3,,Female,,155,fictional
Gintama THE FINAL,Shinsuke Takasugi,Aug 10,20s,Male,,170,fictional
Gintama THE FINAL,Kotarou Katsura,Jun 26,20s,Male,AB,175,fictional
Gintama THE FINAL,Shouyou Yoshida,Aug 4,,Male,,,fictional
Gintama THE FINAL,Tae Shimura,Oct 31,18,Female,,168,fictional
Gintama THE FINAL,Sadaharu,Feb 25,,Male,,170,fictional
Gintama THE FINAL,Tama,Feb 23,,Female,,166,fictional
Gintama THE FINAL,Sougo Okita,Jul 8,18,Male,,170,fictional
Gintama THE FINAL,Toushirou Hijikata,May 5,27,Male,A,"Human
Height",fictional
Gintama THE FINAL,Isao Kondou,Sep 4,28-33,Male,A,184,fictional
Gintama THE FINAL,Katakuriko Matsudaira,Sep 4,,Male,,168,fictional
Gintama THE FINAL,Tatsuma Sakamoto,Nov 15,20s,Male,,181,fictional
Gintama THE FINAL,Kyuubei Yagyuu,Apr 20,17,Non-binary,,,fictional
Gintama THE FINAL,Tsukuyo,Feb 9,,Female,,,fictional
Gintama THE FINAL,Nobume Imai,Oct 2,,Female,,,fictional
Gintama THE FINAL,Ayame Sarutobi,Jun 2,20+,Female,,169,fictional
Gintama THE FINAL,Zenzou Hattori,Aug 22,,Male,,175,fictional
Gintama THE FINAL,Taizou Hasegawa,Jun 13,38,Male,,"Gemini
Height",fictional
Gintama THE FINAL,Oboro,,,,,,fictional
Gintama THE FINAL,Utsuro,,,Male,,,fictional
Gintama THE FINAL,Prince Hata,Apr 17,,Male,,,fictional
Gintama THE FINAL,Jii,,,,,,fictional
Gintama THE FINAL,Sagaru Yamazaki,Feb 6,32,Male,,,fictional
Gintama THE FINAL,Otose,Jul 7,60-65,Female,,166,fictional
Gintama THE FINAL,Catherine,,,,,,fictional
Gintama THE FINAL,Gengai Hiraga,Dec 18,,,,Sagittarius Height,fictional
Gintama THE FINAL,Soyo Tokugawa,Jul 16,,Female,,,fictional
Gintama THE FINAL,Umibouzu,Jul 20,,Male,,168,fictional
Gintama THE FINAL,Henpeita Takechi,Sep 27,,Male,,178,fictional
Gintama THE FINAL,Matako Kijima,Jan 8,,Female,,165,fictional
Gintama THE FINAL,Kamui,Jun 1,18,Male,,,fictional
Gintama THE FINAL,Abuto,Feb 10,32,Male,,February 10 Zodiac,fictional
Gintama THE FINAL,Elizabeth,,,,,,fictional
Gintama THE FINAL,Hideaki Sorachi,"May 25, 1979",,Male,,,fictional
Gintama THE FINAL,Shimaru Saitou,,,,,,fictional
Gintama THE FINAL,Ayumu Toujou,Jan 14,,Male,,,fictional
Gintama THE FINAL,Binbokusai Yagyuu,May 30,,Male,,88,fictional
Gintama THE FINAL,Tokumori Saigou,,,,,,fictional
Gintama THE FINAL,Mutsu,Jul 7,24,Female,,158,fictional
Gintama THE FINAL,Hedoro,,,,,,fictional
Gintama THE FINAL,Katsuo Kurogoma,Apr 10,,Male,,,fictional
Gintama THE FINAL,Jirochou Doromizu,,65,Male,,,fictional
Gintama THE FINAL,Pirako Doromizu,,,,,,fictional
Gintama THE FINAL,Tetsuko Murata,Sep 8,,,,Virgo Height,fictional
Gintama THE FINAL,Ikumatsu Nishiki,,,,,,fictional
Gintama THE FINAL,Tsuu Terakado,Feb 20,17,Female,,,fictional
Gintama THE FINAL,Shigeshige Tokugawa,Jun 22,,Male,,175,fictional
Gintama THE FINAL,Isaburo Sasaki,Feb 5,,Male,,,fictional
Gintama THE FINAL,Nobunobu Hitotsubashi,,,Male,,,fictional
Gintama,Koshinori Yagyuu,May 10,,Male,,,fictional
Gintama,Heiji Kozenigata,,,,,,fictional
Gintama,Harada Unosuke,,,,,,fictional
Gintama,Hinowa,Jan 8,,Female,,8 January Zodiac sign,fictional
Gintama,Seita,May 10,8,Male,,133,fictional
Gintama,Kaoru Waki,Nov 12,,,,Scorpio Height,fictional
Gintama,Haji,Aug 5,,,,Leo Height,fictional
Gintama,Shachi,,,,,,fictional
Gintama,Zenzou no Chichi,,,,,,fictional
Gintama,Tetsunosuke Sasaki,,,,,,fictional
Gintama,Sadasada Tokugawa,,,,,,fictional
Gintama,Maizou Rotten,,,,,,fictional
Gintama,Asaemon Ikeda,,,Female,,,fictional
Gintama,Tasuke Kurokono,,,Male,,,fictional
Fruits Basket The Final,Shigure Souma,,26,Male,,,fictional
Fruits Basket The Final,Tooru Honda,May 6,16-18,Female,,,fictional
Fruits Basket The Final,Yuki Souma,,16-18,Male,A,,fictional
Fruits Basket The Final,Kyou Souma,,16-18,Male,A,,fictional
Fruits Basket The Final,Akito Souma,,19-20,,,,fictional
Fruits Basket The Final,Kagura Souma,"Jul 6, 1991",,,B,,fictional
Fruits Basket The Final,Momiji Souma,,15,,,,fictional
Fruits Basket The Final,Hatori Souma,,27-28,,,,fictional
Fruits Basket The Final,Hatsuharu Souma,,15-17,Male,O,,fictional
Fruits Basket The Final,Ayame Souma,,27-28,,,,fictional
Fruits Basket The Final,Kisa Souma,,12-13,,,,fictional
Fruits Basket The Final,Hiro Souma,,11-12,Male,AB,,fictional
Fruits Basket The Final,Ritsu Souma,,21-22,Male,,,fictional
Fruits Basket The Final,Arisa Uotani,,16-17,Female,,,fictional
Fruits Basket The Final,Saki Hanajima,,16-18,Female,AB,,fictional
Fruits Basket The Final,Kazuma Souma,,34 or older,Male,,,fictional
Fruits Basket The Final,Motoko Minagawa,,,,,,fictional
Fruits Basket The Final,Isuzu Souma,,17-19,Female,,,fictional
Fruits Basket The Final,Kureno Souma,,26-27,,,,fictional
Fruits Basket The Final,Kakeru Manabe,,,,,,fictional
Fruits Basket The Final,Machi Kuragi,,,Female,,,fictional
Fruits Basket The Final,Kimi Toudou,,,,,,fictional
Fruits Basket The Final,Naohito Sakuragi,,,,,,fictional
Fruits Basket The Final,Kyouko Honda,,33 (at death),Female,,,fictional
Fruits Basket The Final,Ren Souma,,,,,,fictional
Fruits Basket The Final,Mine Kuramae,,,,,,fictional
Fruits Basket The Final,Mayuko Shiraki,,,,,,fictional
Fruits Basket The Final,Akira Souma,,,,,,fictional
Fruits Basket The Final,Kamisama,,,,,,fictional
Fruits Basket The Final,Kyou no Chichi,,,Male,,,fictional
Fruits Basket The Final,Kyou no Haha,,,Female,,,fictional
Fruits Basket The Final,Satsuki Souma,,,,,,fictional
Fruits Basket The Final,Katsuya Honda,,28 (at death),Male,,,fictional
Fruits Basket The Final,Megumi Hanajima,,,,,,fictional
Fruits Basket The Final,Minami Kinoshita,,16-17,Female,,,fictional
Fruits Basket The Final,Mio Yamagishi,,,,,,fictional
Fruits Basket The Final,Hiroshi,,,,,,fictional
Fruits Basket The Final,Yuusuke,,,,,,fictional
Fruits Basket The Final,Machi no Haha,,,Female,,,fictional
Fruits Basket The Final,Machi no Chichi,,,Male,,,fictional
Fruits Basket The Final,Kunimitsu Tomoda,,,,,,fictional
Fruits Basket The Final,Momiji no Haha,,,,,,fictional
Fruits Basket The Final,Tooru no Sofu,,,Male,,,fictional
Fruits Basket The Final,Kisa no Haha,,,,,,fictional
Fruits Basket The Final,Shigure no Haha,,,,,,fictional
Fruits Basket The Final,Hanajima no Haha,,,,,,fictional
Fruits Basket The Final,Hinata Souma,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Edward Elric,1899,"15-16 (series), 18 (movie, End of the series)",Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Alphonse Elric,1900,14-15,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Winry Rockbell,"Jun 9, 1899",15-16,Female,,,fictional
