subcat1,Name,Height, subcat2
SpongeBob SquarePants,SpongeBob,10.16,TV
SpongeBob SquarePants,Patrick Star,15.24,TV
SpongeBob SquarePants,Mr Krabs,12.5,TV
SpongeBob SquarePants,Sandy Cheeks,12,TV
Spongebob SquarePants,Squidward Tentacles,25.4,TV
Marvel Comics,Wolverine,160,Comics
Marvel Comics,Spider-Man (Peter Parker),178,Comics
Marvel Comics,Galactus (planet size),750000000,Comics
Marvel Comics,Surtur,304,Comics
Marvel Comics,Nightcrawler,175,Comics
Marvel Comics,Emma Frost,178,Comics
Marvel Comics,Magneto,188,Comics
Marvel Comics,Beast,180,Comics
Marvel Comics,Shadowcat (Kitty Pride),168,Comics
Marvel Comics,Thing,183,Comics
Marvel Comics,Chtylok ,762,Comics
Marvel Comics,Captain America (Steve Rogers),188,Comics
Marvel Comics,Juggernaut,294.64,Comics
Marvel Comics,Ymir ,305,Comics
Marvel Comics,Exitar the Executioner,610000,Comics
Godzilla (franchise),Godzilla (1998),6000,Movies
Godzilla (franchise), King Ghidorah (1964),10000,Movies
Godzilla (franchise),Burning Godzilla (1995),10000,Movies
Godzilla (franchise),Godzilla Shin (2016),11850,Movies
Godzilla (franchise),Godzilla Earth,31800,Movies
Godzilla (franchise),Godzilla Showa (1955-1975),5000,Movies
Godzilla (franchise),Godzilla GMK (2001),6000,Movies
Godzilla (franchise),King Kong (1962),4511.04,Movies
Godzilla (franchise), GODZILLA (1954),5000,Movies
Godzilla (franchise),Rodan (1964),5000,Movies
Godzilla (franchise),Godzilla (1984),8000,Movies
Godzilla (franchise),Godzilla Legendary (2014),10800,Movies
Godzilla (franchise),Godzilla (Final Wars),10000,Movies
Godzilla (franchise),Godzilla MonsterVerse (2019),11978.64,Movies
Godzilla (franchise),Godzilla Heisei (1991-1994),10000,Movies
Godzilla (franchise),Godzilla (2000),5500,Movies
Godzilla (franchise),Anguirus Showa (1955-1975),6000,Movies
Sonic the Hedgehog,Doctor eggman,182.88,Video games
Sonic the hedgehog,Knuckles,110,Video games
Sonic the hedgehog,E-102 Gamma,250,Video games
Sonic the hedgehog,E-101 Beta,250,Video games
Sonic the hedgehog,Sticks,106,Video games
Sonic the hedgehog,Tails,80,Video games
Sonic the hedgehog,Sonic,100,Video games
Sonic the hedgehog,E-104 Epsilon,250,Video games
Sonic the hedgehog,Amy Rose,89,Video games
DC Universe ,Alan Scott,183,Comics
DC Universe ,Atrocitus,236,Comics
DC Universe ,Batman,192,Comics
DC Universe ,Clayface,180,Comics
DC Universe ,Alfred Pennyworth,183,Comics
DC Universe ,General zod,191,Comics
DC Universe ,Doomsday,269,Comics
DC Universe ,John Stewart,185,Comics
DC Universe ,Joker,193,Comics
DC Universe ,Aquaman,185,Comics
DC Universe ,Doctor Manhattan,198,Comics
DC Universe ,Darkseid,251,Comics
DC Universe ,Captain Atom ,193,Comics
DC Universe ,Cyborg,198,Comics
DC Universe ,Beast boy,173,Comics
DC Universe ,Cat Woman,173,Comics
DC Universe ,Deathstroke,193,Comics
DC Universe ,Amazo,244,Comics
DC Universe ,Bat-Mite,89,Comics
DC Universe ,Harley Quinn,170,Comics
DC Universe ,Captain Boomerang ,175,Comics
DC Universe ,Bizzaro,206,Comics
DC Universe ,John Constantine,183,Comics
DC Universe ,Deadshot,185,Comics
DC Universe ,Giganta,1527,Comics
DC Universe ,Anti-monitor,2900,Comics
DC Universe ,Green Arrow,180,Comics
DC Universe ,Despero,246,Comics
DC Universe ,Big Barda,206,Comics
DC Universe ,Doctor Fate,188,Comics
DC Universe ,Flash,193,Comics
DC Universe ,Bane,214,Comics
DC Universe ,Batwoman,180,Comics
DC Universe ,Wonder Woman,183,Comics
DC Universe ,Krona,203,Comics
DC Universe ,Starfire,185,Comics
DC Universe ,Mongul,244,Comics
DC Universe ,Nightwing,178,Comics
DC Universe ,Martian Manhunter,201,Comics
DC Universe ,Robin (Damian Wayne),158,Comics
DC Universe ,Penguin,157,Comics
DC Universe ,Raven,180,Comics
DC Universe ,Plastic man,185,Comics
DC Universe ,Supergirl,165,Comics
DC Universe ,Killer Croc,218,Comics
DC Universe ,Kyle Rayner,180,Comics
DC Universe ,Superman,190.5,Comics
DC Universe ,Lex Luthor,188,Comics
DC Universe ,Ras Al Ghul,196,Comics
DC Universe ,Red hood,183,Comics
DC Universe ,Sinestro,201,Comics
DC Universe ,Shazam,188,Comics
DC Universe ,Mogo the living planet,99980000000,Comics
Super Mario,Petey Piranha,388.62,Video games
Super Mario,Mario,155,Video games
Super Mario,Wendy O. Koopa,124.46000000000001,Video games
Super Mario,Luigi,175.26,Video games
Super Mario,Waluigi,216,Video games
Super Mario,Piranha Plant,115,Video games
Super Mario,Spiny,45.72,Video games
Super Mario,Koopa Troopa,120,Video games
Super Mario,Wario,170.18,Video games
Super Mario,ShyGuy,100,Video games
Super Mario,Bowser,261.62,Video games
Super Mario,Yoshi,175.26,Video games
Super Mario,Goomba,72,Video games
Super Mario,Lakitu,179,Video games
Super Mario,Princess Peach,182.88,Video games
Super Mario,Toad,105,Video games
Super Mario,Birdo,170.18,Video games
Looney Tunes,Elmer Fudd,111.75999999999999,TV
Looney Tunes,Foghorn Leghorn,157.48000000000002,TV
Looney Tunes,Wile E. Coyote ,120,TV
Looney Tunes,Lola Bunny,96.52,TV
Looney Tunes,Yosemite Sam,90,TV
Looney Tunes,Pepe Le Pew,97,TV
Looney Tunes,Blue Monstar,545,TV
Looney Tunes,Sylvester,152.4,TV
Looney Tunes,Bugs Bunny ,127,TV
Looney Tunes,Daffy Duck,104.14,TV
Looney Tunes,Red Monstar,210,TV
Looney Tunes,Green Monstar,370,TV
Looney Tunes,Purple Monstar,400,TV
Looney Tunes,Taz Tasmanian Devil,71.12,TV
Super Mario,Wiggler,159,Video games
Super Mario,Donkey Kong,240,Video games
Super Mario,Bowser Jr,112,Video games
Super Mario,Bullet Bill,148,Video games
Super Mario,Baby Mario and Luigi,90,Video games
Super Mario,Hammer Bro,142.24,Video games
Super Mario,Toadette,105,Video games
Super Mario,Daisy,180.34,Video games
Super Mario,boo,79,Video games
Gamera,Gamera Heisei (1995-1999),8000,Movies
Jurassic World,Indominus rex,650,Movies
SIREN HEAD,SIREN HEAD,1220,Video games
TELETUBBIES,DIPSY,243.84,TV
Shrek,Shrek,226,Movies
movie,Tickety Tock (The Clocks),2.2,Movies
league of legends,Annie,127,Video games
league of legends,Nami,167,Video games
league of legends,Caitlyn ,170,Video games
league of legends,Syndra,180,Video games
league of legends,Irelia,172,Video games
league of legends,Zed,177,Video games
league of legends,Yuumi,20,Video games
league of legends,Rammus,91,Video games
league of legends,Kalista,177,Video games
league of legends,Amumu,109,Video games
league of legends,Yasuo,167,Video games
league of legends,Shyvana (human form),167,Video games
league of legends,Ryze,172,Video games
league of legends,Taliyah,175,Video games
league of legends,Zoe,144,Video games
league of legends,Kled,91,Video games
league of legends,Miss Fortune,167,Video games
league of legends,Teemo,81,Video games
league of legends,Karma,200,Video games
league of legends,Sona,167,Video games
league of legends,Xin Zhao,172,Video games
league of legends,Poppy,96,Video games
league of legends,Elise (spider form),121,Video games
league of legends,Lux,177,Video games
league of legends,Brand,177,Video games
league of legends,Kassadin,175,Video games
league of legends,Ezreal,172,Video games
league of legends,Qiyana,152,Video games
league of legends,Heimerdinger ,96,Video games
league of legends,Ashe,175,Video games
league of legends,Orianna,172,Video games
league of legends,Ahri,168,Video games
league of legends,Fiora,180,Video games
league of legends,Fizz,91,Video games
league of legends,Veigar ,55,Video games
league of legends,Sivir,172,Video games
league of legends,Morgana,165,Video games
league of legends,Riven,180,Video games
league of legends,Malzahar,167,Video games
league of legends,Kayle,250,Video games
league of legends,Udyr,177,Video games
league of legends,Rakan,175,Video games
league of legends,Varus,170,Video games
league of legends,Shaco,165,Video games
league of legends,Evelynn,167,Video games
league of legends,Kai’Sa,167,Video games
league of legends,Katarina,165,Video games
league of legends,Neeko,144,Video games
league of legends,Rumble,78,Video games
league of legends,Mini Gnar,73,Video games
league of legends,Pantheon,175,Video games
league of legends,Kayn,177,Video games
league of legends,Xayah,160,Video games
league of legends,Karthus,180,Video games
league of legends,Nidalee (human form),167,Video games
league of legends,Zac (average),207,Video games
league of legends,Lulu ,60,Video games
league of legends,Jinx,160,TV
league of legends,Kennen,78,Video games
league of legends,Ziggs,76,Video games
league of legends,Akali,162.56,Video games
league of legends,Quinn,172,Video games
league of legends,Twitch,155,Video games
league of legends,Talon,172,Video games
league of legends,Diana,177,Video games
league of legends,Lee Sin,167,Video games
league of legends,Tristana,81,Video games
league of legends,LeBlanc,170,Video games
league of legends,Ekko,175,Video games
Marvel,Hulk,279,Comics
league of legends,Shen,187,Video games
league of legends,Vi,180,Video games
league of legends,Soraka,187,Video games
league of legends,Vladimir,190,Video games
league of legends,Zac (large size),268,Video games
league of legends,Xerath,457,Video games
league of legends,Yorick,185,Video games
league of legends,Zyra,180,Video games
league of legends,Sylas,190,Video games
league of legends,Lissandra,193,Video games
league of legends,Taric,187,Video games
league of legends,Mega Gnar,853,Video games
league of legends,Nautilus,1200,Video games
league of legends,Malphite,10360,Video games
League of Legends ,Galio,6900,Video games
league of legends,Aatrox,778,Video games
league of legends,Maokai,670,Video games
league of legends,Nasus,457,Video games
league of legends,Garen,195,Video games
league of legends,Ivern,304,Video games
league of legends,Tryndamere,185,Video games
league of legends,Draven,185,Video games
league of legends,Cassiopeia,396,Video games
league of legends,Skarner,487,Video games
league of legends,Master Yi,180,Video games
league of legends,Vel'Koz,914,Video games
league of legends,Aphelios,182,Video games
league of legends,Gragas,218,Video games
league of legends,Wukong,187,Video games
league of legends,Fiddlestick,182,Video games
league of legends,Kog'Maw,203,Video games
league of legends,Elise (human form),185,Video games
league of legends,Warwick,233,Video games
league of legends,Twisted Fate,185,Video games
league of legends,Darius,195,Video games
league of legends,Leona,185,Video games
league of legends,Rengar,203,Video games
league of legends,Blitzcrank,274,Video games
league of legends,Jhin,193,Video games
league of legends,Camille,203,Video games
league of legends,Singed,190,Video games
league of legends,Gangplank,182,Video games
league of legends,Sion,274,Video games
league of legends,Volibear,8100,Video games
league of legends,Viktor,187,Video games
league of legends,Zilean,185,Video games
league of legends,Dr. Mundo,264,Video games
league of legends,Jayce,182,Video games
league of legends,Swain,180,Video games
league of legends,Alistar,317,Video games
league of legends,Pyke,193,Video games
league of legends,Trundle,457,Video games
league of legends,Olaf,180,Video games
league of legends,Kha'Zix,193,Video games
league of legends,Illaoi,195,Video games
league of legends,Cho'Gath,2190,Video games
league of legends,Hecarim,274,Video games
league of legends,Renekton,457,Video games
league of legends,Ornn,8100,Video games
league of legends,Mordekaiser,366,Video games
league of legends,Jax,187,Video games
