subcat1,name,height, gender
Actor,Verne Troyer,81.28,M
Actor,Herve Villechaize,116.84,M
Actor,David Rappaport,119.38,M
Actor,Tony Cox,106.67,M
Actor,Warwick Davis,106.67,M
Actor,Phil Fondacaro,106.67,M
Actor,Michael J Anderson,109.22,M
Actor,Kenny Baker,111.75,M
Actor,Billy Barty,114.3,M
Actor,Kiran Shah,126.23,F
Actor,Nikki Blonsky,147.32,F
Actor,Kristin Chenoweth,147.32,F
Actor,Danny DeVito,147,M
Actor,Kelly Stables,147.32,F
Actor,Jeillo Edwards,151.13,F
Actor,Lorena Gale,151.13,F
Actor,Lisa Origlasso,151.13,F
Actor,Elaine Paige,151.13,F
Actor,Jada Pinkett Smith,151.13,F
Actor,Marissa Jaret Winokur,151.13,F
Actor,Adrienne Bailon,149.85,F
Actor,Tammy Faye Bakker,149.85,F
Actor,Nell Carter,149.85,F
Actor,Alexis Dziena,149.85,F
Actor,Danielle Harris,149.85,F
Actor,Melissa Howard,149.85,F
Actor,Leslie Jordan,149.85,F
Actor,Veronica Lake,149.85,F
Actor,Mary Kate Olsen,149.85,F
Actor,Melissa Rauch,149.85,F
Actor,Charlene Tilton,149.85,F
Actor,Peter Dinklage,134.62,M
Actor,Gary Coleman,139.7,M
Actor,Lil Kim,146.04,M
Actor,Linda Hunt,144.78,F
Actor,Brenda Lee,144.78,F
Actor,Nicole Polizzi,144.78,F
Singer,Ariana Grande,153.03,F
Singer,Hayden Panettiere,153.03,F
Singer,Christina Ricci,153.03,F
Singer,Emilie De Ravin,153.67,F
Singer,Sheena Easton,153.67,F
Singer,Jodelle Ferland,153.67,F
Singer,Judy Garland,153.67,F
Singer,Shirley Henderson,153.67,F
Singer,Jessica Parker Kennedy,153.67,F
Model,Eva Longoria,153.67,F
Model,Kandyse McClure,153.67,F
Model,Jennette McCurdy,153.67,F
Model,Cathy Newell,153.67,F
Model,Kate Rusby,153.67,F
Model,Brenda Song,153.67,F
Model,Rachel Stevens,153.67,F
Model,Mae Whitman,153.67,F
Model,Toyah Wilcox,153.67,F
Model,Elizabeth Hendrickson,154.3,F
Model,Lisa Rogers,154.3,F
Model,Paula Abdul,152.4,F
Model,June Allyson,152.4,F
Model,Jan Anderson,152.4,F
Model,Pat Benatar,152.4,F
Model,Lucy Benjamin,152.4,F
Model,Alex Borstein,152.4,F
Model,Ronnie Corbett,152.4,F
Model,Elizabeth Daily,152.4,F
Model,Amy Davidson,152.4,F
Model,Patty Duke,152.4,F
Model,America Ferrera,152.4,F
Model,Dawn French,152.4,F
Model,Janet Gaynor,152.4,F
Model,Ruth Gordon,152.4,F
Model,Brea Grant,152.4,F
Model,Helen Hayes,152.4,F
Model,Jordan Ladd,152.4,F
Model,Miriam Margolyes,152.4,F
Actor,Kylie Jenner,168.3,F
Actor,Ashley Olsen,152.4,F
Actor,Dolly Parton,152.4,F
Actor,Rhea Perlman,152.4,F
Actor,Keshia Knight Pulliam,152.4,F
Actor,Shaobo Qin,152.4,F
Actor,Suzi Quatro,152.4,F
Actor,Aileen Quinn,152.4,F
Actor,Charlotte Rae,152.4,F
Actor,Mackenzie Rosman,152.4,F
Actor,Imelda Staunton,152.4,F
Actor,Sarah Steele,152.4,F
Actor,Gloria Swanson,152.4,F
Actor,Mae West,152.4,F
Actor,Maisie Williams,152.4,F
Actor,Chandra Wilson,152.4,F
Politician,A J Langer,155.57,F
Politician,Lady Sovereign,155.57,F
Politician,Christina Aguilera,156.21,F
Politician,Angry Anderson,156.21,F
Politician,Patricia Arquette,156.21,F
Politician,MyAnna Buring,156.21,F
Politician,Francesca Catalano,156.21,F
Politician,Lindsey Coulson,156.21,F
Politician,Elisha Cuthbert,156.21,M
Politician,Karen Shenaz David,156.21,F
Politician,Fefe Dobson,156.21,F
Politician,Kerri Green,156.21,F
Politician,Sarah Hadland,156.21,F
Politician,Jean Harlow,156.21,F
Actor,Salma Hayek,156.2,F
Actor,Chelsee Healey,156.21,F
Actor,Norah Jones,156.21,F
Actor,Monica Keena,156.21,F
Singer,Avril Lavigne,156.21,F
Singer,Vicki Lewis,156.21,F
Singer,Cher Lloyd,156.21,F
Singer,LuLu ,156.21,F
Singer,Kathleen Madigan,156.21,F
Singer,Teairra Mari,156.21,F
Singer,Alyssa Milano,156.21,F
Singer,Stevie Nicks,156.21,F
Singer,Rosie Perez,156.21,F
Singer,Marion Ramsey,156.21,F
Singer,Amy Sedaris,156.21,F
