name,gender,height,category,subcat1,subcat2,extras
all might,m,220.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
kuugo sakamata,m,202.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
endeavor,m,195.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
inasa yoarashi,m,190.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
yawara chatora,f,190.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
mezou shouji,m,187.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
koji koda,m,186.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
rikido sato,m,185.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
shota aizawa,m,183.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
tenya iida,m,179.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
hanta sero,m,177.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
hitoshi shinso,m,177.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
tamaki amajiki,m,177.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
shoto todoroki,m,176.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
momo yaoyorozu,f,173.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
katsuki bakugo,m,172.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
seiji shishikura,m,172.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
yokumiru mera,f,171.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
eijiro kirishima,m,170.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
neito monoma,m,170.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
mashirao ojiro,m,169.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
moe kamiji,f,169.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
denki kaminari,m,168.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
yuga aoyama,m,168.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
kamui woods,m,168.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
shino sousaki,f,168.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
ibara shiozaki,f,167.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
ryuuko tsuchikawa,f,167.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
