Category,Name,Height,Pro1,pro2
158023,L. Messi,170.18,AR,Paris Saint-Germain,73
20801,Cristiano Ronaldo,187.96,PT,Al-Nassr,11
190871,Neymar Jr,175.26,BR,Paris Saint-Germain,73
193079,De Gea,193.04,ES,Manchester United,11
192985,K. De Bruyne,180.34,BE,Manchester City,10
183277,E. Hazard,172.72,BE,Real Madrid,243
177003,L. Modrić,172,HR,Real Madrid,243
176580,L. Suárez,182.88,UY,Gremio,1629
176580,Sergio Ramos,182.88,ES,Real Madrid,1629
176580,J. Oblak,187.96,SI,Atlético Madrid,1629
188545,R. Lewandowski,182.88,PL,FC Barcelona,241
188545,T. Kroos,182.88,DE,Real Madrid,241
188545,D. Godín,187.96,UY,Atlético Madrid,241
188545,David Silva,172.72,ES,Manchester City,241
188545,N. Kanté,167.64,FR,Chelsea,241
188545,P. Dybala,177.8,AR,Juventus,241
202126,H. Kane,187.96,GB,Tottenham Hotspur,18
202126,A. Griezmann,175.26,FR,Atlético Madrid,18
202126,M. ter Stegen,187.96,DE,FC Barcelona,18
192119,T. Courtois,198.12,BE,Real Madrid,243
192119,Sergio Busquets,187.96,ES,FC Barcelona,243
192119,E. Cavani,185.42,UY,Paris Saint-Germain,243
192119,M. Neuer,193.04,DE,FC Bayern München,243
192119,S. Agüero,172.72,AR,Manchester City,243
192119,G. Chiellini,187.96,IT,Juventus,243
231747,K. Mbappé,177.8,FR,Paris Saint-Germain,73
209331,M. Salah,175.26,EG,Liverpool,11
209331,Casemiro,185.42,BR,Real Madrid,11
209331,J. Rodríguez,180.34,CO,FC Bayern München,11
209331,L. Insigne,162.56,IT,Napoli,11
209331,Isco,175.26,ES,Real Madrid,11
209331,C. Eriksen,180.34,DK,Tottenham Hotspur,11
209331,Coutinho,172.72,BR,FC Barcelona,11
209331,P. Aubameyang,187.96,GA,Arsenal,11
209331,M. Hummels,190.5,DE,FC Bayern München,11
209331,Marcelo,175.26,BR,Real Madrid,11
209331,G. Bale,185.42,gb-wls,Real Madrid,11
