Category,Name,Height
Dragon Ball Z,Saibaman,121.92
Dragon Ball Z,Burter,250
Dragon Ball Z,Cell Perfect Form,213
Dragon Ball Z,Gotenks,123
Dragon Ball,Chiaotzu,138
Dragon Ball,Yamcha,183
Dragon Ball Z,Frieza,158
Dragon Ball Z,Vegeta,184
Dragon Ball Z,Recoome,230
Dragon Ball Super,Krillin,123
Dragon Ball Z,Vegito,175.26
Dragon Ball,Piccolo,226
Dragon Ball Z,Farmer,130
Dragon Ball GT,Syn Shenron,241
Dragon Ball,Tien Shinhan,187
Dragon Ball,King Piccolo,250
Dragon Ball,Goku,189
Dragon Ball Z,Gohan,176
Dragon Ball Z,Captain Ginyu,200
Dragon Ball Z,Android 18,169
Dragon Ball Z,Guldo,100
Dragon Ball Z,Jeice,170
Dragon Ball Z,Kid Buu,145
Dragon Ball Z,Android 19,185
Dragon Ball Z,Android 16,223
Dragon Ball Z,Android 20,200
Dragon Ball Z,Majin Buu,287
Dragon Ball Z,Nappa,208
Dragon Ball Z,Super Buu,250
Dragon Ball Z,Trunks,170
Dragon Ball Z,Babidi,100
Dragon Ball Z,Android 17,170
Dragon Ball Z,Raditz,185
Dragon Ball Z,Goten kid,123
Dragon Ball,Captain Ginyu Frog,12
Dragon Ball,Arak the Destroyer,135
Dragon Ball,Quitela,106
Dragon Ball Super,Damon,1
Dragon Ball,Garlic Jr,149
Dragon Ball,Dragon Ball,7.5
Dragon Ball,Dende kid,122
Dragon Ball,Pilaf kid,120
Dragon Ball,Oolong,121
Dragon Ball,Jaco,148
Dragon Ball,Gohan Kid,115
Dragon Ball,Trunks kid,129
Dragon Ball,Sidra the Destroyer,144
Dragon Ball,Uub,141
Dragon Ball,Iwen,121
Dragon Ball,Yogengyo,7
Dragon Ball,Grand Zeno the Omni-King,68
Bleach,Renji Abarai,188
Bleach,Hiyori Sarugaki,133
Bleach,Shunsui Kyōraku,192
Bleach,Kaname Tosen,176
Bleach,Giant Yammy Llargo,4490
Bleach,Izuru Kira,173
Bleach,Tier Harribel,175
Bleach,Ichigo Kurosaki,181
Bleach,Rangiku Matsumoto,172
Bleach,Shuhei Hisagi,181
Bleach,Hachigen Ushoda,257
Bleach,Sajin Komamura,288
Bleach,Sosuke Aizen,186
Bleach,Gin Ichimaru,185
Bleach,Nelliel Tu Odelschwanck,176
Bleach,Ulquiorra Cifer,169
Bleach,Byakuya Kuchiki,180
bleach,Ayon,790
Bleach,Yammy Llargo,230
Bleach,Shigekumi Yamamoto,168
Bleach,Mayuri Kurotsuchi,174
Bleach,Ushiro Ukitake,187
Bleach,Ikkaku Madarame,182
Bleach,Kensei Mugurama,179
Bleach,Kon,27
Bleach,Yoruichi Shihouin,156
Bleach,Tessai Tsukabishi,200
Bleach,Grimmjow Jaegerjaquez,186
Bleach,Retsu Unohaha,159
Bleach,Nnoitra Gigla,215
Bleach,Kisuke Uruhara,183
Bleach,Shinki Hirako,176
Bleach,Momo Hinamori,151
Bleach,Ishin Kurosaki,186
Bleach,Lisa Yadomaru,162
Bleach,Rojuro Otoribashi,187
Bleach,Nanao Ise,164
Bleach,Lisa Yadomaru,1460
Bleach,Rukia Kuchiki,144
Bleach,Toshiro Hitsugaya,133
Bleach,Kenpachi Zaraki,202
Bleach,Mashiro Kuna,153
Dragon Ball,Champa the Destroyer,175
Dragon Ball,Caulifla,162
Dragon Ball,Zamasu,173
Dragon Ball,Vados,210
Dragon Ball,King Cold,366
Dragon Ball,Kale,158
Dragon Ball,Belmond the Destroyer,195
Dragon Ball,Android 13,240
Dragon Ball,Grand Priest,160
Dragon Ball,Frieza 2nd Form,269
Dragon Ball,Geene the Destroyer,195
Dragon Ball,Janemba 1st Form,1550
Dragon Ball,Giant Slug,2100
Dragon Ball,Botamo,316
Dragon Ball,Giant Bergamo,1800
Dragon Ball,Great Ape Baby Vegeta,6000
Dragon Ball,Whis,230
Dragon Ball,Cognac,236
Dragon Ball,Bardock,204
Dragon Ball,Porunga,65000
Dragon Ball,Helles the Destroyer,178
Dragon Ball,Anilaza,2500
Dragon Ball,King Kai,150
Dragon Ball,Magetta,441
Dragon Ball,Golden Ozaru Goku,2000
Dragon Ball,Moro,230
Dragon Ball,Martinu,158
Dragon Ball,Mai,175
Dragon Ball,Kale Berserker,218
Dragon Ball,Frieza Base,158
Dragon Ball,Toppo the Destroyer,215
Dragon Ball,Cukatail,244
Dragon Ball,Korn,221
Dragon Ball,Videl,157
Dragon Ball,Liquiir the Destroyer,195
Dragon Ball,Awamo,158
Dragon Ball,Bulma,165
Dragon Ball,Goku Black,200
Dragon Ball,Janemba,190
Dragon Ball,Mr Satan,188
Dragon Ball,Zeno's assistant,274
Dragon Ball,Hirudegarn,4800
Dragon Ball,Dende,150
Dragon Ball Super,Beerus the Destroyer,200
