name,gender,occupation,height,details
2 chainz,male,"{rapper,music_artist,composer,record_producer}",196.0,"{\"net_worth\": 9000000.0, \"birthday\": \"1977-09-12,age\": 45.0, \"is_alive\": 1.0, \"death\": None}"
a. j. cook,female,"{actor,dancer}",169.0,"{\"net_worth\": 5000000.0, \"birthday\": \"1978-07-22,age\": 44.0, \"is_alive\": 1.0, \"death\": None}"
aaliyah,female,"{singer,model,actor,dancer}",171.0,"{\"net_worth\": 10000000.0, \"birthday\": \"1979-01-16,age\": 22.0, \"is_alive\": 0.0, \"death\": \"2001-08-25"}"
aamir khan,male,"{actor,film_producer,film_director,screenwriter,television_producer}",168.0,"{\"net_worth\": 180000000.0, \"birthday\": \"1965-03-14,age\": 58.0, \"is_alive\": 1.0, \"death\": None}"
aaron ashmore,male,actor,183.0,"{\"net_worth\": 2000000.0, \"birthday\": \"1979-10-07,age\": 43.0, \"is_alive\": 1.0, \"death\": None}"
aaron carter,male,"{singer,singer-songwriter,actor,songwriter,rapper,dancer}",183.0,"{\"net_worth\": 400000.0, \"birthday\": \"1987-12-07,age\": 35.0, \"is_alive\": 1.0, \"death\": None}"
aaron douglas,male,actor,183.0,"{\"net_worth\": 800000.0, \"birthday\": \"1971-08-23,age\": 51.0, \"is_alive\": 1.0, \"death\": None}"
aaron eckhart,male,"{actor,film_producer}",183.0,"{\"net_worth\": 16000000.0, \"birthday\": \"1968-03-12,age\": 55.0, \"is_alive\": 1.0, \"death\": None}"
aaron paul,male,"{actor,voice_actor}",173.0,"{\"net_worth\": 20000000.0, \"birthday\": \"1979-08-27,age\": 43.0, \"is_alive\": 1.0, \"death\": None}"
aaron rodgers,male,"{american_football_player,athlete}",188.0,"{\"net_worth\": 120000000.0, \"birthday\": \"1983-12-02,age\": 39.0, \"is_alive\": 1.0, \"death\": None}"
aaron stanford,male,actor,173.0,"{\"net_worth\": 500000.0, \"birthday\": \"1976-12-27,age\": 46.0, \"is_alive\": 1.0, \"death\": None}"
aaron staton,male,actor,185.0,"{\"net_worth\": 4000000.0, \"birthday\": \"1980-08-02,age\": 42.0, \"is_alive\": 1.0, \"death\": None}"
aaron taylor-johnson,male,actor,180.0,"{\"net_worth\": 16000000.0, \"birthday\": \"1990-06-13,age\": 33.0, \"is_alive\": 1.0, \"death\": None}"
aaron yoo,male,actor,171.0,"{\"net_worth\": 2000000.0, \"birthday\": \"1979-05-12,age\": 44.0, \"is_alive\": 1.0, \"death\": None}"
aasif mandvi,male,"{actor,comedian,screenwriter}",178.0,"{\"net_worth\": 800000.0, \"birthday\": \"1966-03-05,age\": 57.0, \"is_alive\": 1.0, \"death\": None}"
abbie cornish,female,"{actor,model,voice_actor}",173.0,"{\"net_worth\": 8000000.0, \"birthday\": \"1982-08-07,age\": 40.0, \"is_alive\": 1.0, \"death\": None}"
abby brammell,female,actor,170.0,"{\"net_worth\": 2000000.0, \"birthday\": \"1979-03-19,age\": 44.0, \"is_alive\": 1.0, \"death\": None}"
abe vigoda,male,"{actor,voice_actor}",184.0,"{\"net_worth\": 10000000.0, \"birthday\": \"1921-02-24,age\": 102.0, \"is_alive\": 1.0, \"death\": None}"
abhishek bachchan,male,"{actor,presenter,businessperson,singer,playback_singer,film_producer}",185.0,"{\"net_worth\": 30000000.0, \"birthday\": \"1976-02-05,age\": 47.0, \"is_alive\": 1.0, \"death\": None}"
abigail breslin,female,"{actor,voice_actor}",155.0,"{\"net_worth\": 8000000.0, \"birthday\": \"1996-04-14,age\": 27.0, \"is_alive\": 1.0, \"death\": None}"
abigail spencer,female,"{actor,screenwriter}",165.0,"{\"net_worth\": 3000000.0, \"birthday\": \"1981-08-04,age\": 41.0, \"is_alive\": 1.0, \"death\": None}"
ada nicodemou,female,actor,155.0,"{\"net_worth\": 5000000.0, \"birthday\": \"1977-05-14,age\": 46.0, \"is_alive\": 1.0, \"death\": None}"
adam ant,male,"{singer,musician,actor}",173.0,"{\"net_worth\": 10000000.0, \"birthday\": \"1954-11-03,age\": 68.0, \"is_alive\": 1.0, \"death\": None}"
adam arkin,male,"{actor,television_director,television_producer,writer}",187.0,"{\"net_worth\": 10000000.0, \"birthday\": \"1956-08-19,age\": 66.0, \"is_alive\": 1.0, \"death\": None}"
adam baldwin,male,"{actor,voice_actor}",193.0,"{\"net_worth\": 5000000.0, \"birthday\": \"1962-02-27,age\": 61.0, \"is_alive\": 1.0, \"death\": None}"
