name,gender,occupation,height,details
2 chainz,male,"{""rapper"", ""music_artist"", ""composer"", ""record_producer""}",196.0,"{""net_worth"": 9000000.0, ""birthday"": ""1977-09-12"", ""age"": 45.0, ""is_alive"": 1.0, ""death"": null}"
a. j. cook,female,"{""actor"", ""dancer""}",169.0,"{""net_worth"": 5000000.0, ""birthday"": ""1978-07-22"", ""age"": 44.0, ""is_alive"": 1.0, ""death"": null}"
aaliyah,female,"{""singer"", ""model"", ""actor"", ""dancer""}",171.0,"{""net_worth"": 10000000.0, ""birthday"": ""1979-01-16"", ""age"": 22.0, ""is_alive"": 0.0, ""death"": ""2001-08-25""}"
aamir khan,male,"{""actor"", ""film_producer"", ""film_director"", ""screenwriter"", ""television_producer""}",168.0,"{""net_worth"": 180000000.0, ""birthday"": ""1965-03-14"", ""age"": 58.0, ""is_alive"": 1.0, ""death"": null}"
aaron ashmore,male,"{""actor""}",183.0,"{""net_worth"": 2000000.0, ""birthday"": ""1979-10-07"", ""age"": 43.0, ""is_alive"": 1.0, ""death"": null}"
aaron carter,male,"{""singer"", ""singer-songwriter"", ""actor"", ""songwriter"", ""rapper"", ""dancer""}",183.0,"{""net_worth"": 400000.0, ""birthday"": ""1987-12-07"", ""age"": 35.0, ""is_alive"": 1.0, ""death"": null}"
aaron douglas,male,"{""actor""}",183.0,"{""net_worth"": 800000.0, ""birthday"": ""1971-08-23"", ""age"": 51.0, ""is_alive"": 1.0, ""death"": null}"
aaron eckhart,male,"{""actor"", ""film_producer""}",183.0,"{""net_worth"": 16000000.0, ""birthday"": ""1968-03-12"", ""age"": 55.0, ""is_alive"": 1.0, ""death"": null}"
aaron paul,male,"{""actor"", ""voice_actor""}",173.0,"{""net_worth"": 20000000.0, ""birthday"": ""1979-08-27"", ""age"": 43.0, ""is_alive"": 1.0, ""death"": null}"
aaron rodgers,male,"{""american_football_player"", ""athlete""}",188.0,"{""net_worth"": 120000000.0, ""birthday"": ""1983-12-02"", ""age"": 39.0, ""is_alive"": 1.0, ""death"": null}"
aaron stanford,male,"{""actor""}",173.0,"{""net_worth"": 500000.0, ""birthday"": ""1976-12-27"", ""age"": 46.0, ""is_alive"": 1.0, ""death"": null}"
aaron staton,male,"{""actor""}",185.0,"{""net_worth"": 4000000.0, ""birthday"": ""1980-08-02"", ""age"": 42.0, ""is_alive"": 1.0, ""death"": null}"
aaron taylor-johnson,male,"{""actor""}",180.0,"{""net_worth"": 16000000.0, ""birthday"": ""1990-06-13"", ""age"": 33.0, ""is_alive"": 1.0, ""death"": null}"
aaron yoo,male,"{""actor""}",171.0,"{""net_worth"": 2000000.0, ""birthday"": ""1979-05-12"", ""age"": 44.0, ""is_alive"": 1.0, ""death"": null}"
aasif mandvi,male,"{""actor"", ""comedian"", ""screenwriter""}",178.0,"{""net_worth"": 800000.0, ""birthday"": ""1966-03-05"", ""age"": 57.0, ""is_alive"": 1.0, ""death"": null}"
abbie cornish,female,"{""actor"", ""model"", ""voice_actor""}",173.0,"{""net_worth"": 8000000.0, ""birthday"": ""1982-08-07"", ""age"": 40.0, ""is_alive"": 1.0, ""death"": null}"
abby brammell,female,"{""actor""}",170.0,"{""net_worth"": 2000000.0, ""birthday"": ""1979-03-19"", ""age"": 44.0, ""is_alive"": 1.0, ""death"": null}"
abe vigoda,male,"{""actor"", ""voice_actor""}",184.0,"{""net_worth"": 10000000.0, ""birthday"": ""1921-02-24"", ""age"": 102.0, ""is_alive"": 1.0, ""death"": null}"
abhishek bachchan,male,"{""actor"", ""presenter"", ""businessperson"", ""singer"", ""playback_singer"", ""film_producer""}",185.0,"{""net_worth"": 30000000.0, ""birthday"": ""1976-02-05"", ""age"": 47.0, ""is_alive"": 1.0, ""death"": null}"
abigail breslin,female,"{""actor"", ""voice_actor""}",155.0,"{""net_worth"": 8000000.0, ""birthday"": ""1996-04-14"", ""age"": 27.0, ""is_alive"": 1.0, ""death"": null}"
abigail spencer,female,"{""actor"", ""screenwriter""}",165.0,"{""net_worth"": 3000000.0, ""birthday"": ""1981-08-04"", ""age"": 41.0, ""is_alive"": 1.0, ""death"": null}"
ada nicodemou,female,"{""actor""}",155.0,"{""net_worth"": 5000000.0, ""birthday"": ""1977-05-14"", ""age"": 46.0, ""is_alive"": 1.0, ""death"": null}"
adam ant,male,"{""singer"", ""musician"", ""actor""}",173.0,"{""net_worth"": 10000000.0, ""birthday"": ""1954-11-03"", ""age"": 68.0, ""is_alive"": 1.0, ""death"": null}"
adam arkin,male,"{""actor"", ""television_director"", ""television_producer"", ""writer""}",187.0,"{""net_worth"": 10000000.0, ""birthday"": ""1956-08-19"", ""age"": 66.0, ""is_alive"": 1.0, ""death"": null}"
adam baldwin,male,"{""actor"", ""voice_actor""}",193.0,"{""net_worth"": 5000000.0, ""birthday"": ""1962-02-27"", ""age"": 61.0, ""is_alive"": 1.0, ""death"": null}"
adam beach,male,"{""actor"", ""film_producer""}",182.0,"{""net_worth"": 2000000.0, ""birthday"": ""1972-11-11"", ""age"": 50.0, ""is_alive"": 1.0, ""death"": null}"
adam brody,male,"{""actor"", ""musician"", ""voice_actor""}",180.0,"{""net_worth"": 16000000.0, ""birthday"": ""1979-12-15"", ""age"": 43.0, ""is_alive"": 1.0, ""death"": null}"
adam campbell,male,"{""actor""}",171.0,"{""net_worth"": 2000000.0, ""birthday"": ""1980-08-19"", ""age"": 42.0, ""is_alive"": 1.0, ""death"": null}"
adam carolla,male,"{""comedian"", ""talk_show_host"", ""radio_personality"", ""actor"", ""carpentry"", ""tv_personality"", ""presenter"", ""voice_actor"", ""screenwriter"", ""television_producer""}",188.0,"{""net_worth"": 20000000.0, ""birthday"": ""1964-05-27"", ""age"": 59.0, ""is_alive"": 1.0, ""death"": null}"
adam deacon,male,"{""actor"", ""film_director"", ""rapper"", ""screenwriter"", ""writer""}",165.0,"{""net_worth"": 4000000.0, ""birthday"": ""1983-03-04"", ""age"": 40.0, ""is_alive"": 1.0, ""death"": null}"
adam devine,male,"{""film_producer"", ""actor"", ""screenwriter"", ""television_producer"", ""comedian"", ""voice_actor""}",173.0,"{""net_worth"": 8000000.0, ""birthday"": ""1983-11-07"", ""age"": 39.0, ""is_alive"": 1.0, ""death"": null}"
adam driver,male,"{""actor""}",191.0,"{""net_worth"": 16000000.0, ""birthday"": ""1983-11-19"", ""age"": 39.0, ""is_alive"": 1.0, ""death"": null}"
adam garcia,male,"{""actor"", ""dancer"", ""singer""}",180.0,"{""net_worth"": 3000000.0, ""birthday"": ""1973-06-01"", ""age"": 50.0, ""is_alive"": 1.0, ""death"": null}"
adam goldberg,male,"{""actor"", ""film_director"", ""film_producer"", ""musician"", ""film_editor"", ""singer"", ""voice_actor"", ""composer"", ""screenwriter""}",180.0,"{""net_worth"": 6000000.0, ""birthday"": ""1970-10-25"", ""age"": 52.0, ""is_alive"": 1.0, ""death"": null}"
adam lamberg,male,"{""actor""}",162.0,"{""net_worth"": 1500000.0, ""birthday"": ""1984-09-14"", ""age"": 38.0, ""is_alive"": 1.0, ""death"": null}"
adam lambert,male,"{""actor"", ""musician"", ""artist"", ""record_producer"", ""singer-songwriter"", ""music_artist""}",185.0,"{""net_worth"": 30000000.0, ""birthday"": ""1982-01-29"", ""age"": 41.0, ""is_alive"": 1.0, ""death"": null}"
adam levine,male,"{""musician"", ""guitarist"", ""actor"", ""singer-songwriter"", ""entrepreneur"", ""vocal_coach""}",182.0,"{""net_worth"": 120000000.0, ""birthday"": ""1979-03-18"", ""age"": 44.0, ""is_alive"": 1.0, ""death"": null}"
adam mckay,male,"{""screenwriter"", ""actor"", ""film_director"", ""comedian"", ""television_producer"", ""television_director"", ""film_producer""}",196.0,"{""net_worth"": 40000000.0, ""birthday"": ""1968-04-17"", ""age"": 55.0, ""is_alive"": 1.0, ""death"": null}"
adam pally,male,"{""actor"", ""television_director"", ""screenwriter"", ""comedian"", ""film_producer""}",179.0,"{""net_worth"": 600000.0, ""birthday"": ""1982-03-18"", ""age"": 41.0, ""is_alive"": 1.0, ""death"": null}"
adam rodriguez,male,"{""actor"", ""television_director"", ""screenwriter""}",183.0,"{""net_worth"": 16000000.0, ""birthday"": ""1975-04-02"", ""age"": 48.0, ""is_alive"": 1.0, ""death"": null}"
adam sandler,male,"{""screenwriter"", ""film_producer"", ""actor"", ""television_producer"", ""comedian"", ""musician"", ""songwriter"", ""voice_actor""}",177.0,"{""net_worth"": 420000000.0, ""birthday"": ""1966-09-09"", ""age"": 56.0, ""is_alive"": 1.0, ""death"": null}"
adam savage,male,"{""actor"", ""educator"", ""television_producer"", ""special_effects_designer"", ""presenter"", ""industrial_designer""}",182.0,"{""net_worth"": 8000000.0, ""birthday"": ""1967-07-15"", ""age"": 55.0, ""is_alive"": 1.0, ""death"": null}"
adam scott,male,"{""actor"", ""film_producer"", ""television_producer"", ""television_director"", ""screenwriter""}",177.0,"{""net_worth"": 8000000.0, ""birthday"": ""1973-04-03"", ""age"": 50.0, ""is_alive"": 1.0, ""death"": null}"
adam west,male,"{""actor"", ""voice_actor"", ""presenter""}",188.0,"{""net_worth"": 8000000.0, ""birthday"": ""1928-09-19"", ""age"": 88.0, ""is_alive"": 0.0, ""death"": ""2017-06-09""}"
addison timlin,female,"{""actor""}",154.0,"{""net_worth"": 400000.0, ""birthday"": ""1991-06-29"", ""age"": 32.0, ""is_alive"": 1.0, ""death"": null}"
adelaide clemens,female,"{""actor""}",175.0,"{""net_worth"": 4000000.0, ""birthday"": ""1989-11-30"", ""age"": 33.0, ""is_alive"": 1.0, ""death"": null}"
madeleine albright,female,"{""politician"", ""diplomat"", ""professor""}",147.0,"{""net_worth"": 10000000.0, ""birthday"": ""1937-05-15"", ""age"": 86.0, ""is_alive"": 1.0, ""death"": null}"
adrian chiles,male,"{""presenter"", ""radio_personality"", ""disc_jockey"", ""actor"", ""writer"", ""screenwriter""}",183.0,"{""net_worth"": 2000000.0, ""birthday"": ""1967-03-21"", ""age"": 56.0, ""is_alive"": 1.0, ""death"": null}"
adrian grenier,male,"{""actor"", ""film_producer"", ""musician"", ""television_producer"", ""film_director""}",183.0,"{""net_worth"": 12000000.0, ""birthday"": ""1976-07-10"", ""age"": 46.0, ""is_alive"": 1.0, ""death"": null}"
adrian holmes,male,"{""actor"", ""voice_actor""}",182.0,"{""net_worth"": 4000000.0, ""birthday"": ""1974-03-31"", ""age"": 49.0, ""is_alive"": 1.0, ""death"": null}"
adrian lester,male,"{""actor"", ""television_director"", ""screenwriter""}",185.0,"{""net_worth"": 6000000.0, ""birthday"": ""1968-08-14"", ""age"": 54.0, ""is_alive"": 1.0, ""death"": null}"
adrian pasdar,male,"{""actor"", ""film_director"", ""voice_actor"", ""guitarist""}",178.0,"{""net_worth"": 10000000.0, ""birthday"": ""1965-04-30"", ""age"": 58.0, ""is_alive"": 1.0, ""death"": null}"
adrian paul,male,"{""actor"", ""film_producer"", ""television_producer"", ""model"", ""dancer"", ""choreographer""}",183.0,"{""net_worth"": 500000.0, ""birthday"": ""1959-05-29"", ""age"": 64.0, ""is_alive"": 1.0, ""death"": null}"
adrian zmed,male,"{""actor""}",173.0,"{""net_worth"": 3000000.0, ""birthday"": ""1954-03-14"", ""age"": 69.0, ""is_alive"": 1.0, ""death"": null}"
adriana lima,female,"{""model"", ""supermodel"", ""fashion_model""}",178.0,"{""net_worth"": 95000000.0, ""birthday"": ""1981-06-12"", ""age"": 42.0, ""is_alive"": 1.0, ""death"": null}"
adrianne curry,female,"{""model"", ""television_producer"", ""actor"", ""waiting_staff""}",179.0,"{""net_worth"": 500000.0, ""birthday"": ""1982-08-06"", ""age"": 40.0, ""is_alive"": 1.0, ""death"": null}"
adrianne palicki,female,"{""actor""}",180.0,"{""net_worth"": 4000000.0, ""birthday"": ""1983-05-06"", ""age"": 40.0, ""is_alive"": 1.0, ""death"": null}"
