name,net_worth,gender,nationality,birthday,age,is_alive,death,birthDate,deathDate,category,height
2 chainz,9000000.0,male,us,1977-09-12,45.0,1.0,,,,'rapper',196.0
21 savage,12000000.0,,,,,,,,,nan,
karla martinez,10000000.0,female,mx,1976-05-11,47.0,1.0,,,,'television_presenter',
a. j. cook,5000000.0,female,ca,1978-07-22,44.0,1.0,,,,'actor',169.0
aaliyah,10000000.0,female,us,1979-01-16,22.0,0.0,2001-08-25,,,'singer',171.0
aamir khan,180000000.0,male,in,1965-03-14,58.0,1.0,,,,'actor',168.00000000000003
aaron ashmore,2000000.0,male,ca,1979-10-07,43.0,1.0,,,,'actor',183.0
aaron carter,400000.0,male,us,1987-12-07,35.0,1.0,,,,'singer',183.0
aaron douglas,800000.0,male,ca,1971-08-23,51.0,1.0,,,,'actor',183.0
aaron eckhart,16000000.0,male,us,1968-03-12,55.0,1.0,,,,'actor',183.0
aaron judge,10000000.0,,,,,,,,,nan,
aaron lohr,5000000.0,male,us,1976-04-02,47.0,1.0,,,,'singer',
aaron paul,20000000.0,male,us,1979-08-27,43.0,1.0,,,,'actor',173.0
aaron rodgers,120000000.0,male,us,1983-12-02,39.0,1.0,,,,'american_football_player',188.0
aaron stanford,500000.0,male,us,1976-12-27,46.0,1.0,,,,'actor',173.0
aaron staton,4000000.0,male,us,1980-08-02,42.0,1.0,,,,'actor',185.0
aaron taylor-johnson,16000000.0,male,gb,1990-06-13,33.0,1.0,,,,'actor',180.0
aaron yoo,2000000.0,male,us,1979-05-12,44.0,1.0,,,,'actor',171.0
aashish chaudhary,30000000.0,male,in,,,,,,,'actor',
aasif mandvi,800000.0,male,in,1966-03-05,57.0,1.0,,,,'actor',178.0
abbey lee kershaw,4000000.0,,,,,,,,,nan,
abbi jacobson,6000000.0,female,,,,,,,,'actor',
abbie cornish,8000000.0,female,au,1982-08-07,40.0,1.0,,,,'actor',173.0
abby brammell,2000000.0,female,us,1979-03-19,44.0,1.0,,,,'actor',170.00000000000003
abby elliott,1500000.0,female,us,1987-06-16,36.0,1.0,,,,'comedian',
abe vigoda,10000000.0,male,us,1921-02-24,102.0,1.0,,,,'actor',184.0
abhishek bachchan,30000000.0,male,in,1976-02-05,47.0,1.0,,,,'actor',185.0
abigail breslin,8000000.0,female,us,1996-04-14,27.0,1.0,,,,'actor',155.0
abigail ratchford,4000000.0,,,,,,,,,nan,
abigail spencer,3000000.0,female,us,1981-08-04,41.0,1.0,,,,'actor',165.0
action bronson,10000000.0,male,us,1983-12-02,39.0,1.0,,,,'rapper',
ada nicodemou,5000000.0,female,au,1977-05-14,46.0,1.0,,,,'actor',155.0
adam ant,10000000.0,male,gb,1954-11-03,68.0,1.0,,,,'singer',173.0
adam arkin,10000000.0,male,us,1956-08-19,66.0,1.0,,,,'actor',187.0
adam baldwin,5000000.0,male,us,1962-02-27,61.0,1.0,,,,'actor',193.00000000000003
adam beach,2000000.0,male,ca,1972-11-11,50.0,1.0,,,,'actor',182.0
adam brody,16000000.0,male,us,1979-12-15,43.0,1.0,,,,'actor',180.0
adam campbell,2000000.0,male,gb,1980-08-19,42.0,1.0,,,,'actor',171.0
adam carolla,20000000.0,male,us,1964-05-27,59.0,1.0,,,,'comedian',188.0
adam deacon,4000000.0,male,gb,1983-03-04,40.0,1.0,,,,'actor',165.0
adam devine,8000000.0,male,us,1983-11-07,39.0,1.0,,,,'film_producer',173.0
adam driver,16000000.0,male,us,1983-11-19,39.0,1.0,,,,'actor',191.0
adam garcia,3000000.0,male,au,1973-06-01,50.0,1.0,,,,'actor',180.0
adam goldberg,6000000.0,male,us,1970-10-25,52.0,1.0,,,,'actor',180.0
adam lamberg,1500000.0,male,us,1984-09-14,38.0,1.0,,,,'actor',162.0
adam lambert,30000000.0,male,us,1982-01-29,41.0,1.0,,,,'actor',185.0
adam levine,120000000.0,male,us,1979-03-18,44.0,1.0,,,,'musician',182.0
adam mckay,40000000.0,male,us,1968-04-17,55.0,1.0,,,,'screenwriter',196.0
adam pally,600000.0,male,us,1982-03-18,41.0,1.0,,,,'actor',179.0
adam rayner,3000000.0,male,gb,1977-08-28,45.0,1.0,,,,'actor',
adam rodriguez,16000000.0,male,us,1975-04-02,48.0,1.0,,,,'actor',183.0
adam sandler,420000000.0,male,us,1966-09-09,56.0,1.0,,,,'screenwriter',177.0
adam savage,8000000.0,male,us,1967-07-15,55.0,1.0,,,,'actor',182.0
adam scott,8000000.0,male,us,1973-04-03,50.0,1.0,,,,'actor',177.0
adam west,8000000.0,male,us,1928-09-19,88.0,0.0,2017-06-09,,,'actor',188.0
adan canto,2000000.0,male,mx,1981-12-05,41.0,1.0,,,,'actor',
addison rae,5000000.0,,,,,,,,,nan,
addison timlin,400000.0,female,us,1991-06-29,32.0,1.0,,,,'actor',154.0
adelaide clemens,4000000.0,female,au,1989-11-30,33.0,1.0,,,,'actor',175.0
madeleine albright,10000000.0,female,us,1937-05-15,86.0,1.0,,,,'politician',147.0
adele exarchopoulos,2000000.0,female,fr,1993-11-22,29.0,1.0,,,,'actor',
adina porter,2000000.0,female,us,1971-03-13,52.0,1.0,,,,'actor',
adrian chiles,2000000.0,male,gb,1967-03-21,56.0,1.0,,,,'presenter',183.0
adrian grenier,12000000.0,male,us,1976-07-10,46.0,1.0,,,,'actor',183.0
adrian holmes,4000000.0,male,gb,1974-03-31,49.0,1.0,,,,'actor',182.0
adrian holmes,4000000.0,male,gb,1974-03-31,49.0,1.0,,,,'actor',182.0
adrian lester,6000000.0,male,gb,1968-08-14,54.0,1.0,,,,'actor',185.0
adrian pasdar,10000000.0,male,us,1965-04-30,58.0,1.0,,,,'actor',178.0
adrian paul,500000.0,male,gb,1959-05-29,64.0,1.0,,,,'actor',183.0
adrian zmed,3000000.0,male,us,1954-03-14,69.0,1.0,,,,'actor',173.0
adriana lima,95000000.0,female,br,1981-06-12,42.0,1.0,,,,'model',178.0
adrianne curry,500000.0,female,us,1982-08-06,40.0,1.0,,,,'model',179.0
adrianne palicki,4000000.0,female,us,1983-05-06,40.0,1.0,,,,'actor',180.0
adrien brody,16000000.0,male,us,1973-04-14,50.0,1.0,,,,'actor',185.0
adrienne bailon,4000000.0,female,us,1983-10-24,39.0,1.0,,,,'actor',150.0
adrienne barbeau,5000000.0,female,us,1945-06-11,78.0,1.0,,,,'actor',159.0
adrienne maloof-nassif,50000000.0,female,us,1961-09-04,61.0,1.0,,,,'businessperson',155.0
afrojack,60000000.0,male,nl,1987-09-09,35.0,1.0,,,,'disc_jockey',208.0
afrojack,60000000.0,male,nl,1987-09-09,35.0,1.0,,,,'disc_jockey',208.0
afshan azad,1500000.0,female,gb,1988-02-12,35.0,1.0,,,,'actor',170.00000000000003
agnes bruckner,2000000.0,female,us,1985-08-16,37.0,1.0,,,,'actor',172.0
agnieszka radwanska,25000000.0,female,pl,1989-03-06,34.0,1.0,,,,'tennis_player',172.0
agyness deyn,5000000.0,female,gb,1983-02-16,40.0,1.0,,,,'fashion_model',173.0
ahmed best,3000000.0,male,us,1973-08-19,49.0,1.0,,,,'actor',180.0
ahna o'reilly,3000000.0,female,us,1985-02-17,38.0,1.0,,,,'actor',
aida turturro,5000000.0,female,us,1962-09-25,60.0,1.0,,,,'actor',165.0
aidan gallagher,2000000.0,,,,,,,,,nan,
aidan gillen,8000000.0,male,ie,1968-04-24,55.0,1.0,,,,'actor',178.0
aidan quinn,12000000.0,male,us,1959-03-08,64.0,1.0,,,,'actor',183.0
aileen quinn,500000.0,female,us,1971-06-28,52.0,1.0,,,,'actor',149.0
aimee garcia,2000000.0,female,us,1978-11-28,44.0,1.0,,,,'actor',157.0
aimee kelly,3000000.0,female,gb,1993-07-08,30.0,1.0,,,,'actor',
aimee mann,10000000.0,female,us,1960-09-08,62.0,1.0,,,,'singer',182.0
aimee teegarden,6000000.0,female,us,1989-10-10,33.0,1.0,,,,'actor',170.00000000000003
ainsley harriott,4000000.0,male,gb,1957-02-28,66.0,1.0,,,,'presenter',191.0
aisha hinds,3000000.0,female,us,1975-11-13,47.0,1.0,,,,'actor',
aisha tyler,8000000.0,female,us,1970-09-18,52.0,1.0,,,,'actor',183.0
aishwarya al alsaud,820000000.0,,,,,,,,,nan,
aishwarya rai,100000000.0,female,in,1973-11-01,49.0,1.0,,,,'actor',170.00000000000003
aisleyne horgan-wallace,3000000.0,female,gb,1978-12-28,44.0,1.0,,,,'fashion_designer',172.0
aj lee,4000000.0,,,,,,,,,nan,
aj michalka,700000.0,female,us,1991-04-10,32.0,1.0,,,,'singer',168.00000000000003
aj styles,6000000.0,,,,,,,,,nan,
ajay piramal,1800000000.0,male,in,1955-12-20,67.0,1.0,,,,nan,
ajay devgan,30000000.0,male,in,1969-04-02,54.0,1.0,,,,'actor',175.0
terje hakonsen,4000000.0,male,,1974-10-11,48.0,1.0,,,,nan,
aksel hennie,5000000.0,male,no,1975-10-29,47.0,1.0,,,,'actor',173.0
akshay kumar,240000000.0,male,in,1967-09-09,55.0,1.0,,,,'actor',180.0
al cowlings,250000.0,male,us,1947-06-16,76.0,1.0,,,,'american_football_player',196.0
al franken,8000000.0,male,us,1951-05-21,72.0,1.0,,,,'politician',168.00000000000003
al gore,300000000.0,male,us,1948-03-31,75.0,1.0,,,,'politician',187.0
jamal lewis,-1000000.0,male,us,1979-08-26,43.0,1.0,,,,'american_football_player',180.0
al pacino,120000000.0,male,us,1940-04-25,83.0,1.0,,,,'actor',170.00000000000003
al roker,70000000.0,male,us,1954-08-20,68.0,1.0,,,,'tv_meteorologist',173.0
alain delon,200000000.0,male,fr,1935-11-08,87.0,1.0,,,,'actor',177.0
alan alda,40000000.0,male,us,1936-01-28,87.0,1.0,,,,'actor',188.0
alan arkin,15000000.0,male,us,1934-03-26,89.0,1.0,,,,'actor',175.0
alan cumming,5000000.0,male,us,1965-01-27,58.0,1.0,,,,'actor',178.0
alan dale,8000000.0,male,au,1947-05-06,76.0,1.0,,,,'actor',188.0
alan jackson,95000000.0,male,us,1958-10-17,64.0,1.0,,,,'songwriter',193.00000000000003
alan king,10000000.0,male,ie,1973-02-05,50.0,1.0,,,,'actor',173.0
alan ladd jr,75000000.0,male,us,1937-10-22,85.0,1.0,,,,'film_producer',
alan rickman,16000000.0,male,gb,1946-02-21,77.0,1.0,,,,'actor',185.0
alan ritchson,3000000.0,male,us,1984-11-28,38.0,1.0,,,,'singer',188.0
alan ruck,10000000.0,male,us,1956-07-01,67.0,1.0,,,,'actor',183.0
alan shearer,52500000.0,male,gb,1970-08-13,52.0,1.0,,,,'coach',183.0
alan sugar,1300000000.0,male,gb,1947-03-24,76.0,1.0,,,,'businessperson',173.0
alan thicke,40000000.0,male,ca,1947-03-01,69.0,0.0,2016-12-13,,,'actor',185.0
alan tudyk,2000000.0,male,us,1971-03-16,52.0,1.0,,,,'actor',183.0
alan young,5000000.0,male,gb,1919-11-19,103.0,1.0,,,,'actor',178.0
alana de la garza,4000000.0,female,us,1976-06-18,47.0,1.0,,,,'actor',175.0
alanis morissette,45000000.0,female,us,1974-06-01,49.0,1.0,,,,'writer',163.0
alanna masterson,2000000.0,female,us,1988-06-27,35.0,1.0,,,,'actor',
alanna ubach,800000.0,female,us,1975-10-03,47.0,1.0,,,,'actor',157.0
albert brooks,28000000.0,male,us,1947-07-22,75.0,1.0,,,,'comedian',178.0
albert einstein,1000000.0,male,us,1879-03-14,76.0,0.0,1955-04-18,,,'physicist',175.0
albert finney,10000000.0,male,gb,1936-05-09,82.0,0.0,2019-02-07,,,'actor',175.0
alberto del rio,6000000.0,male,mx,1977-05-25,46.0,1.0,,,,'mixed_martial_artist',196.0
aldis hodge,10000000.0,male,us,1986-09-20,36.0,1.0,,,,'actor',185.0
alec baldwin,60000000.0,male,us,1958-04-03,65.0,1.0,,,,'actor',183.0
alec guinness,100000000.0,male,gb,1914-04-02,86.0,0.0,2000-08-05,,,'actor',178.0
alec mapa,1000000.0,male,us,1965-07-10,57.0,1.0,,,,'actor',165.0
aled jones,5000000.0,male,gb,1970-12-29,52.0,1.0,,,,'presenter',
alejandro gonzalez inarritu,40000000.0,male,mx,1963-08-15,59.0,1.0,,,,'film_director',184.0
alek wek,20000000.0,female,sd,1977-04-16,46.0,1.0,,,,'fashion_model',180.0
alesha dixon,4000000.0,female,gb,1978-10-07,44.0,1.0,,,,'singer',169.0
alessandra ambrosio,80000000.0,female,br,1981-04-11,42.0,1.0,,,,'fashion_model',176.0
alessandro nivola,3000000.0,male,us,1972-06-28,51.0,1.0,,,,'actor',175.0
alessia cara,4000000.0,,,,,,,,,nan,
alex band,500000.0,male,us,1981-06-08,42.0,1.0,,,,'musician',178.0
alex borstein,24000000.0,female,us,1973-02-15,50.0,1.0,,,,'actor',152.0
alex d. linz,400000.0,male,us,1989-01-03,34.0,1.0,,,,'actor',163.0
alex ferguson,70000000.0,male,gb,1941-12-31,81.0,1.0,,,,'coach',180.0
judge alex ferrer,15000000.0,,,,,,,,,nan,
alex gaskarth,1000000.0,male,gb,1987-12-14,35.0,1.0,,,,'singer-songwriter',184.0
alex james,25000000.0,male,gb,1968-11-21,54.0,1.0,,,,'author',
alex jennings,5000000.0,male,gb,1957-05-10,66.0,1.0,,,,'actor',188.0
alex jones,5000000.0,male,us,1974-02-11,49.0,1.0,,,,'actor',178.0
alex kapranos,10000000.0,male,gb,1972-03-20,51.0,1.0,,,,'singer',180.0
alex karras,6000000.0,male,us,1935-07-15,77.0,0.0,2012-10-10,,,'wrestler',188.0
alex kingston,6000000.0,female,gb,1963-03-11,60.0,1.0,,,,'actor',170.00000000000003
alex kingston,6000000.0,female,gb,1963-03-11,60.0,1.0,,,,'actor',170.00000000000003
alex meneses,6000000.0,female,us,1965-02-12,58.0,1.0,,,,'actor',
alex morgan,3000000.0,female,us,1989-07-02,34.0,1.0,,,,'football_player',173.0
alex o'loughlin,25000000.0,male,au,1976-08-24,46.0,1.0,,,,'actor',188.0
alex pettyfer,3500000.0,male,gb,1990-04-10,33.0,1.0,,,,'model',181.0
alex rodriguez,350000000.0,male,us,1975-07-27,47.0,1.0,,,,'baseball_player',190.0
alex russell,5000000.0,male,au,1987-12-11,35.0,1.0,,,,'actor',
alex turner,25000000.0,male,gb,1986-01-06,37.0,1.0,,,,'singer',177.0
alex winter,8000000.0,male,us,1965-07-17,57.0,1.0,,,,'film_director',
alex wolff,3000000.0,male,us,1997-11-01,25.0,1.0,,,,'drummer',140.0
alexander nesis,3000000000.0,male,ru,1962-12-19,60.0,1.0,,,,nan,
alexa chung,12000000.0,female,gb,1983-11-05,39.0,1.0,,,,'presenter',173.0
alexa davalos,4000000.0,female,us,1982-05-28,41.0,1.0,,,,'actor',170.00000000000003
alexa vega,8000000.0,female,us,1988-08-27,34.0,1.0,,,,'actor',155.0
alexander armstrong,5000000.0,male,gb,1970-03-02,53.0,1.0,,,,'presenter',191.0
