Name
Johnny Depp
Keanu Reeves
Tom Cruise
Ryan Reynolds
Leonardo DiCaprio
Will Smith
Brad Pitt
Robin Williams
Robert Downey Jr.
Heath Ledger
Harrison Ford
Matthew McConaughey
Sean Connery
Joaquin Phoenix
Daniel Craig
Nicolas Cage
Benedict Cumberbatch
Robert De Niro
Liam Neeson
Al Pacino
Hugh Jackman
Patrick Swayze
Christian Bale
Denzel Washington
Matt Damon
Charlie Chaplin
Samuel L. Jackson
George Clooney
Brendan Fraser
Marlon Brando
Jack Nicholson
John Wayne
Danny DeVito
Ewan McGregor
Jamie Foxx
Kevin Costner
Mel Gibson
Michael Douglas
Gary Oldman
Paul Newman
Patrick Stewart
Anthony Hopkins
James Dean
Ralph Fiennes
James Earl Jones
Kirk Douglas
James Stewart
Charles Robert Redford Jr.
Christopher Lee
Richard Gere
Johnny Depp
Keanu Reeves
Tom Cruise
Ryan Reynolds
Leonardo DiCaprio
Will Smith
Brad Pitt
Robin Williams
Robert Downey Jr.
Heath Ledger
Harrison Ford
Matthew McConaughey
Sean Connery
Joaquin Phoenix
Daniel Craig
Nicolas Cage
Benedict Cumberbatch
Robert De Niro
Liam Neeson
Al Pacino
Hugh Jackman
Patrick Swayze
Christian Bale
Denzel Washington
Matt Damon
Charlie Chaplin
Samuel L. Jackson
George Clooney
Brendan Fraser
Marlon Brando
Jack Nicholson
John Wayne
Danny DeVito
Ewan McGregor
Jamie Foxx
Kevin Costner
Mel Gibson
Michael Douglas
Gary Oldman
Paul Newman
Patrick Stewart
Anthony Hopkins
James Dean
Ralph Fiennes
James Earl Jones
Kirk Douglas
James Stewart
Charles Robert Redford Jr.
Christopher Lee
Richard Gere
Johnny Depp
Keanu Reeves
Tom Cruise
Ryan Reynolds
Leonardo DiCaprio
Will Smith
Brad Pitt
Robin Williams
Robert Downey Jr.
Heath Ledger
Harrison Ford
Matthew McConaughey
Sean Connery
Joaquin Phoenix
Daniel Craig
Nicolas Cage
Benedict Cumberbatch
Robert De Niro
Liam Neeson
Al Pacino
Hugh Jackman
Patrick Swayze
Christian Bale
Denzel Washington
Matt Damon
Charlie Chaplin
Samuel L. Jackson
George Clooney
Brendan Fraser
Marlon Brando
Jack Nicholson
John Wayne
Danny DeVito
Ewan McGregor
Jamie Foxx
Kevin Costner
Mel Gibson
Michael Douglas
Gary Oldman
Paul Newman
Patrick Stewart
Anthony Hopkins
James Dean
Ralph Fiennes
James Earl Jones
Kirk Douglas
James Stewart
Charles Robert Redford Jr.
Christopher Lee
Richard Gere
Johnny Depp
Keanu Reeves
Tom Cruise
Ryan Reynolds
Leonardo DiCaprio
Will Smith
Brad Pitt
Robin Williams
Robert Downey Jr.
Heath Ledger
Harrison Ford
Matthew McConaughey
Sean Connery
Joaquin Phoenix
Daniel Craig
Nicolas Cage
Benedict Cumberbatch
Robert De Niro
Liam Neeson
Al Pacino
Hugh Jackman
Patrick Swayze
Christian Bale
Denzel Washington
Matt Damon
Charlie Chaplin
Samuel L. Jackson
George Clooney
Brendan Fraser
Marlon Brando
Jack Nicholson
John Wayne
Danny DeVito
Ewan McGregor
Jamie Foxx
Kevin Costner
Mel Gibson
Michael Douglas
Gary Oldman
Paul Newman
Patrick Stewart
Anthony Hopkins
James Dean
Ralph Fiennes
James Earl Jones
Kirk Douglas
James Stewart
Charles Robert Redford Jr.
Christopher Lee
Richard Gere
Johnny Depp
Keanu Reeves
Tom Cruise
Ryan Reynolds
Leonardo DiCaprio
Will Smith
Brad Pitt
Robin Williams
Robert Downey Jr.
Heath Ledger
Harrison Ford
Matthew McConaughey
Sean Connery
Joaquin Phoenix
Daniel Craig
Nicolas Cage
Benedict Cumberbatch
Robert De Niro
Liam Neeson
Al Pacino
Hugh Jackman
Patrick Swayze
Christian Bale
Denzel Washington
Matt Damon
Charlie Chaplin
Samuel L. Jackson
George Clooney
Brendan Fraser
Marlon Brando
Jack Nicholson
John Wayne
Danny DeVito
Ewan McGregor
Jamie Foxx
Kevin Costner
Mel Gibson
Michael Douglas
Gary Oldman
Paul Newman
Patrick Stewart
Anthony Hopkins
James Dean
Ralph Fiennes
James Earl Jones
Kirk Douglas
James Stewart
Charles Robert Redford Jr.
Christopher Lee
Richard Gere
Johnny Depp
Keanu Reeves
Tom Cruise
Ryan Reynolds
Leonardo DiCaprio
Will Smith
Brad Pitt
Robin Williams
Robert Downey Jr.
Heath Ledger
Harrison Ford
Matthew McConaughey
Sean Connery
Joaquin Phoenix
Daniel Craig
Nicolas Cage
Benedict Cumberbatch
Robert De Niro
Liam Neeson
Al Pacino
