name,height,p_profession
Aaliyah,165,"music_artist,soundtrack,actress"
Quinton Aaron,202,"actor,producer,writer"
Bonnie Aarons,171,"actress,writer,producer"
Hiam Abbass,165,"actress,director,miscellaneous"
Amanda Abbington,164,actress
Russ Abbot,188,"actor,soundtrack"
Christopher Abbott,182,"producer,production_manager,director"
Christopher Abbott,182,"actor,soundtrack,producer"
Barkhad Abdi,177,actor
Paula Abdul,152,"soundtrack,actress,miscellaneous"
Yahya Abdul-Mateen II,187,"actor,producer"
Jake Abel,185,"actor,producer"
Marisa Abela,165,actress
Raymond Ablack,182,"actor,producer,soundtrack"
F. Murray Abraham,178,"actor,soundtrack"
John Abraham,182,"director,writer,assistant_director"
John Abraham,182,"actor,producer,soundtrack"
Jon Abrahams,168,"actor,director,producer"
Zaraah Abrahams,159,actress
Austin Abrams,171,"actor,soundtrack,producer"
J.J. Abrams,170,"producer,writer,music_department"
Joe Absolom,182,"actor,soundtrack"
Omid Abtahi,170,"actor,casting_department"
Kirk Acevedo,175,actor
Amrita Acharia,154,"actress,producer,director"
Amy Acker,170,"actress,producer,director"
Naomi Ackie,168,"actress,producer,soundtrack"
Joss Ackland,183,"actor,soundtrack"
Danneel Ackles,168,"actress,producer,executive"
Jensen Ackles,183,"actor,producer,soundtrack"
Allegra Acosta,168,actress
Anabelle Acosta,170,"actress,producer"
Amy Adams,161,"actress,producer,soundtrack"
Amy Adams,161,soundtrack
Brian Adams,196,"actor,miscellaneous"
Brian Adams,196,actor
Brooke Adams,160,"actress,producer,writer"
Brooke Adams,160,"actress,soundtrack,music_department"
Brooke Adams,160,actress
Brooke Adams,160,actress
Bryan Adams,173,"music_artist,soundtrack,actor"
Bryan Adams,173,"writer,producer,miscellaneous"
Christine Adams,173,"actress,writer,producer"
Don Adams,175,"actor,director,writer"
Don Adams,175,actor
Douglas Adams,196,"writer,script_department,actor"
Frankie Adams,180,"actress,soundtrack"
Jane Adams,164,actress
Jane Adams,164,"actress,writer,soundtrack"
