ID,Node ID,Node Name
114129,672,Gintoki Sakata
114129,673,Shinpachi Shimura
114129,674,Kagura
114129,2948,Shinsuke Takasugi
114129,1533,Kotarou Katsura
114129,28144,Shouyou Yoshida
114129,2944,Tae Shimura
114129,2651,Sadaharu
114129,6615,Tama
114129,2282,Sougo Okita
114129,2650,Toushirou Hijikata
114129,2943,Isao Kondou
114129,5972,Katakuriko Matsudaira
114129,2945,Tatsuma Sakamoto
114129,6110,Kyuubei Yagyuu
114129,18823,Tsukuyo
114129,55577,Nobume Imai
114129,1759,Ayame Sarutobi
114129,2950,Zenzou Hattori
114129,3760,Taizou Hasegawa
114129,72323,Oboro
114129,124135,Utsuro
114129,7929,Prince Hata
114129,32207,Jii
114129,4653,Sagaru Yamazaki
114129,5970,Otose
114129,7930,Catherine
114129,7927,Gengai Hiraga
114129,32214,Soyo Tokugawa
114129,9876,Umibouzu
114129,9535,Henpeita Takechi
114129,2949,Matako Kijima
114129,12946,Kamui
114129,26731,Abuto
114129,2946,Elizabeth
114129,15452,Hideaki Sorachi
114129,123206,Shimaru Saitou
114129,8282,Ayumu Toujou
114129,15580,Binbokusai Yagyuu
114129,32275,Tokumori Saigou
114129,12161,Mutsu
114129,7928,Hedoro
114129,32739,Katsuo Kurogoma
114129,32838,Jirochou Doromizu
114129,41608,Pirako Doromizu
114129,18016,Tetsuko Murata
114129,9515,Ikumatsu Nishiki
114129,6187,Tsuu Terakado
114129,7157,Shigeshige Tokugawa
114129,55579,Isaburo Sasaki
114129,161215,Nobunobu Hitotsubashi
20996,2947,Bansai Kawakami
20996,15581,Koshinori Yagyuu
20996,17063,Heiji Kozenigata
20996,32209,Harada Unosuke
20996,32238,Hinowa
20996,32239,Seita
20996,32728,Kaoru Waki
20996,32839,Haji
20996,32963,Shachi
20996,41779,Zenzou no Chichi
20996,56029,Tetsunosuke Sasaki
20996,77717,Sadasada Tokugawa
20996,77845,Maizou Rotten
20996,174748,Asaemon Ikeda
20996,265035,Tasuke Kurokono
124194,206,Shigure Souma
124194,207,Tooru Honda
124194,208,Yuki Souma
124194,209,Kyou Souma
124194,374,Akito Souma
124194,366,Kagura Souma
124194,367,Momiji Souma
124194,368,Hatori Souma
124194,369,Hatsuharu Souma
124194,370,Ayame Souma
124194,371,Kisa Souma
124194,372,Hiro Souma
124194,373,Ritsu Souma
124194,375,Arisa Uotani
124194,376,Saki Hanajima
124194,377,Kazuma Souma
124194,3874,Motoko Minagawa
124194,3892,Isuzu Souma
124194,4644,Kureno Souma
124194,4957,Kakeru Manabe
124194,6571,Machi Kuragi
124194,6572,Kimi Toudou
124194,6573,Naohito Sakuragi
124194,9754,Kyouko Honda
124194,9755,Ren Souma
124194,13956,Mine Kuramae
124194,27831,Mayuko Shiraki
124194,212557,Akira Souma
124194,231889,Kamisama
124194,235700,Kyou no Chichi
124194,235701,Kyou no Haha
124194,243718,Satsuki Souma
124194,9230,Katsuya Honda
