name,height,category,subcat1,subcat2,extras
All Might,220.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Kuugo Sakamata,202.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Endeavor,195.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Inasa Yoarashi,190.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Yawara Chatora,190.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Mezou Shouji,187.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Koji Koda,186.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Rikido Sato,185.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Shota Aizawa,183.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Tenya Iida,179.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Hanta Sero,177.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Hitoshi Shinso,177.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Tamaki Amajiki,177.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Shoto Todoroki,176.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Momo Yaoyorozu,173.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Katsuki Bakugo,172.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Seiji Shishikura,172.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Yokumiru Mera,171.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Eijiro Kirishima,170.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Neito Monoma,170.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Mashirao Ojiro,169.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Moe Kamiji,169.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Denki Kaminari,168.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Yuga Aoyama,168.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Kamui Woods,168.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Shino Sousaki,168.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Ibara Shiozaki,167.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Ryuuko Tsuchikawa,167.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Izuku Midoriya,166.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Itsuka Kendo,166.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Tomoko Shiretoko,166.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Emi Fukukado,166.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Mina Ashido,159.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Fumikage Tokoyami,158.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Mei Hatsume,157.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Ochako Uraraka,156.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Kyoka Jiro,154.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Toru Hagakure,152.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
Tsuyu Asui,150.0,fictional,anime,My Hero Academia (Series),"{'Birthday': nan, 'Age':nan, 'Gender': nan, 'Blood Type': nan}"
