name,height,category,subcat1,subcat2,extras
Gintoki Sakata,177.0,fictional,Gintama THE FINAL,anime,"{'Birthday': 'Oct 10', 'Age': '27', 'Gender': 'Male', 'Blood Type': 'B'}"
Shinpachi Shimura,166.0,fictional,Gintama THE FINAL,anime,"{'Birthday': 'Aug 12', 'Age': '16-18', 'Gender': 'Male', 'Blood Type': nan}"
Kagura,155.0,fictional,Gintama THE FINAL,anime,"{'Birthday': 'Nov 3', 'Age': nan, 'Gender': 'Female', 'Blood Type': nan}"
Shinsuke Takasugi,170.0,fictional,Gintama THE FINAL,anime,"{'Birthday': 'Aug 10', 'Age': '20s', 'Gender': 'Male', 'Blood Type': nan}"
Kotarou Katsura,175.0,fictional,Gintama THE FINAL,anime,"{'Birthday': 'Jun 26', 'Age': '20s', 'Gender': 'Male', 'Blood Type': 'AB'}"
Tae Shimura,168.0,fictional,Gintama THE FINAL,anime,"{'Birthday': 'Oct 31', 'Age': '18', 'Gender': 'Female', 'Blood Type': nan}"
Sadaharu,170.0,fictional,Gintama THE FINAL,anime,"{'Birthday': 'Feb 25', 'Age': nan, 'Gender': 'Male', 'Blood Type': nan}"
Tama,166.0,fictional,Gintama THE FINAL,anime,"{'Birthday': 'Feb 23', 'Age': nan, 'Gender': 'Female', 'Blood Type': nan}"
Sougo Okita,170.0,fictional,Gintama THE FINAL,anime,"{'Birthday': 'Jul 8', 'Age': '18', 'Gender': 'Male', 'Blood Type': nan}"
Isao Kondou,184.0,fictional,Gintama THE FINAL,anime,"{'Birthday': 'Sep 4', 'Age': '28-33', 'Gender': 'Male', 'Blood Type': 'A'}"
Katakuriko Matsudaira,168.0,fictional,Gintama THE FINAL,anime,"{'Birthday': 'Sep 4', 'Age': nan, 'Gender': 'Male', 'Blood Type': nan}"
Tatsuma Sakamoto,181.0,fictional,Gintama THE FINAL,anime,"{'Birthday': 'Nov 15', 'Age': '20s', 'Gender': 'Male', 'Blood Type': nan}"
